,study_type,dimension,configuration,stress_state,weight_function_type,crack_length_mm,minimum_element_size_mm,domain_id,domain_r_min,domain_r_max,j_integral_value_analytical,j_integral_value_calculated,j_integral_error_percentage,stress_intensity_factor_value_analytical,stress_intensity_factor_value_calculated,stress_intensity_factor_error_percentage
262,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,3,2,3,8.2259,8.1258,1.2164,769.5877,764.8927,0.6101
263,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,4,3,4,8.2259,8.1623,0.7727,769.5877,766.6087,0.3871
264,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,5,4,5,8.2259,8.1176,1.3166,769.5877,764.5047,0.6605
265,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,6,5,6,8.2259,8.1179,1.3131,769.5877,764.5184,0.6587
266,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,7,6,7,8.2259,8.1349,1.1063,769.5877,765.319,0.5547
267,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,8,7,8,8.2259,8.1012,1.516,769.5877,763.732,0.7609
268,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,9,8,9,8.2259,8.1039,1.4838,769.5877,763.8569,0.7447
269,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.277,10,9,10,8.2259,8.0961,1.5779,769.5877,763.4921,0.7921
270,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,2,1,2,8.2259,8.1392,1.0537,769.5877,765.5224,0.5282
271,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,3,2,3,8.2259,8.1381,1.0673,769.5877,765.4699,0.5351
272,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,4,3,4,8.2259,8.0857,1.7045,769.5877,763.0008,0.8559
273,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,5,4,5,8.2259,8.0934,1.6109,769.5877,763.3638,0.8087
274,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,6,5,6,8.2259,8.0896,1.6571,769.5877,763.1845,0.832
275,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,7,6,7,8.2259,8.0624,1.9872,769.5877,761.9027,0.9986
276,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,8,7,8,8.2259,8.0665,1.9374,769.5877,762.0962,0.9735
277,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,9,8,9,8.2259,8.0811,1.7604,769.5877,762.7837,0.8841
278,mesh_sensitivity,3d,deformed,plane_stress,linear,10,0.173,10,9,10,8.2259,8.0272,2.416,769.5877,760.2341,1.2154
279,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,1,0,1,8.2259,7.2447,11.9277,769.5877,722.234,6.1531
280,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,2,1,2,8.2259,8.301,0.9132,769.5877,773.0936,0.4556
281,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,3,2,3,8.2259,8.2738,0.5826,769.5877,771.8261,0.2909
282,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,4,3,4,8.2259,8.2255,0.0047,769.5877,769.5698,0.0023
283,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,5,4,5,8.2259,8.2115,0.1749,769.5877,768.9145,0.0875
284,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,6,5,6,8.2259,8.1187,1.3038,769.5877,764.5543,0.654
285,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,7,6,7,8.2259,7.9568,3.2712,769.5877,756.8958,1.6492
286,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,8,7,8,8.2259,7.8794,4.2128,769.5877,753.2026,2.1291
287,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,9,8,9,8.2259,8.2827,0.6908,769.5877,772.2414,0.3448
288,weight_functions,2d,deformed,plane_stress,gaussian,10,0.461,10,9,10,8.2259,8.4093,2.2295,769.5877,778.1195,1.1086
289,weight_functions,2d,deformed,plane_stress,linear,10,0.461,1,0,1,8.2259,7.048,14.3196,769.5877,712.3588,7.4363
290,weight_functions,2d,deformed,plane_stress,linear,10,0.461,2,1,2,8.2259,8.2761,0.6103,769.5877,771.9325,0.3047
291,weight_functions,2d,deformed,plane_stress,linear,10,0.461,3,2,3,8.2259,8.196,0.3636,769.5877,768.1874,0.182
292,weight_functions,2d,deformed,plane_stress,linear,10,0.461,4,3,4,8.2259,8.2017,0.2948,769.5877,768.4526,0.1475
293,weight_functions,2d,deformed,plane_stress,linear,10,0.461,5,4,5,8.2259,8.1457,0.9749,769.5877,765.8271,0.4886
294,weight_functions,2d,deformed,plane_stress,linear,10,0.461,6,5,6,8.2259,8.1718,0.6573,769.5877,767.0541,0.3292
295,weight_functions,2d,deformed,plane_stress,linear,10,0.461,7,6,7,8.2259,8.4309,2.4922,769.5877,779.1184,1.2384
296,weight_functions,2d,deformed,plane_stress,linear,10,0.461,8,7,8,8.2259,7.8219,4.9115,769.5877,750.4506,2.4867
297,weight_functions,2d,deformed,plane_stress,linear,10,0.461,9,8,9,8.2259,8.4351,2.543,769.5877,779.3116,1.2635
298,weight_functions,2d,deformed,plane_stress,linear,10,0.461,10,9,10,8.2259,8.0417,2.2397,769.5877,760.9209,1.1262
299,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,1,0,1,8.2259,8.0115,2.6062,769.5877,759.4932,1.3117
300,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,2,1,2,8.2259,8.2934,0.8205,769.5877,772.7384,0.4094
301,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,3,2,3,8.2259,8.2566,0.373,769.5877,771.0218,0.1863
302,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,4,3,4,8.2259,8.2339,0.0969,769.5877,769.9606,0.0485
303,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,5,4,5,8.2259,8.1971,0.3505,769.5877,768.238,0.1754
304,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,6,5,6,8.2259,8.1166,1.3287,769.5877,764.4579,0.6666
305,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,7,6,7,8.2259,8.1179,1.3125,769.5877,764.5208,0.6584
306,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,8,7,8,8.2259,8.1273,1.1989,769.5877,764.9607,0.6012
307,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,9,8,9,8.2259,8.1842,0.5069,769.5877,767.6345,0.2538
308,weight_functions,2d,deformed,plane_stress,polynomial,10,0.461,10,9,10,8.2259,7.9903,2.864,769.5877,758.4871,1.4424
309,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,1,0,1,8.2259,7.0017,14.8823,769.5877,710.0158,7.7408
310,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,2,1,2,8.2259,8.1983,0.3359,769.5877,768.2939,0.1681
311,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,3,2,3,8.2259,8.1545,0.8686,769.5877,766.2381,0.4352
312,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,4,3,4,8.2259,8.1337,1.121,769.5877,765.262,0.5621
313,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,5,4,5,8.2259,8.1363,1.0898,769.5877,765.3829,0.5464
314,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,6,5,6,8.2259,8.0129,2.5897,769.5877,759.5572,1.3034
315,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,7,6,7,8.2259,8.126,1.214,769.5877,764.9021,0.6088
316,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,8,7,8,8.2259,8.0895,1.6588,769.5877,763.1779,0.8329
317,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,9,8,9,8.2259,7.9596,3.2377,769.5877,757.0268,1.6322
318,weight_functions,3d,deformed,plane_stress,gaussian,10,0.461,10,9,10,8.2259,8.1085,1.4271,769.5877,764.0766,0.7161
319,weight_functions,3d,deformed,plane_stress,linear,10,0.461,1,0,1,8.2259,7.3235,10.9707,769.5877,726.1473,5.6446
320,weight_functions,3d,deformed,plane_stress,linear,10,0.461,2,1,2,8.2259,8.0204,2.4986,769.5877,759.9123,1.2572
321,weight_functions,3d,deformed,plane_stress,linear,10,0.461,3,2,3,8.2259,8.1589,0.8143,769.5877,766.448,0.408
322,weight_functions,3d,deformed,plane_stress,linear,10,0.461,4,3,4,8.2259,8.1187,1.3037,769.5877,764.5546,0.654
323,weight_functions,3d,deformed,plane_stress,linear,10,0.461,5,4,5,8.2259,8.0761,1.8212,769.5877,762.5476,0.9148
324,weight_functions,3d,deformed,plane_stress,linear,10,0.461,6,5,6,8.2259,8.1284,1.1853,769.5877,765.0131,0.5944
325,weight_functions,3d,deformed,plane_stress,linear,10,0.461,7,6,7,8.2259,8.0253,2.4386,769.5877,760.1464,1.2268
326,weight_functions,3d,deformed,plane_stress,linear,10,0.461,8,7,8,8.2259,8.1189,1.3007,769.5877,764.5662,0.6525
327,weight_functions,3d,deformed,plane_stress,linear,10,0.461,9,8,9,8.2259,8.0263,2.4264,769.5877,760.1939,1.2206
328,weight_functions,3d,deformed,plane_stress,linear,10,0.461,10,9,10,8.2259,8.1751,0.6175,769.5877,767.2078,0.3092
329,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,1,0,1,8.2259,7.8436,4.6476,769.5877,751.4914,2.3514
330,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,2,1,2,8.2259,8.1959,0.3652,769.5877,768.181,0.1828
331,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,3,2,3,8.2259,8.1597,0.805,769.5877,766.4839,0.4033
332,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,4,3,4,8.2259,8.1309,1.1545,769.5877,765.1323,0.5789
333,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,5,4,5,8.2259,8.0919,1.629,769.5877,763.2937,0.8178
334,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,6,5,6,8.2259,8.091,1.6396,769.5877,763.2527,0.8232
335,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,7,6,7,8.2259,8.0827,1.7404,769.5877,762.8613,0.874
336,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,8,7,8,8.2259,8.0697,1.8988,769.5877,762.246,0.954
337,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,9,8,9,8.2259,8.0697,1.8988,769.5877,762.2461,0.954
338,weight_functions,3d,deformed,plane_stress,polynomial,10,0.461,10,9,10,8.2259,8.0884,1.672,769.5877,763.1269,0.8395
